category_no,category
320040010,어린이;어린이(공통);어린이동화
320040020,어린이;어린이(공통);학습/학습만화
320040030,어린이;어린이(공통);교양/취미
320040040,어린이;어린이(공통);전집
320050010,어린이;어린이영어;첫걸음
320050020,어린이;어린이영어;게임으로 배우기
320050030,어린이;어린이영어;영어학습교재
320050040,어린이;어린이영어;영어리딩/읽기
320050050,어린이;어린이영어;어린이 외국어 기타
330,만화
330010,만화;교양만화
330020,만화;드라마
330030,만화;성인만화
330040,만화;순정만화
330050,만화;스포츠만화
330060,만화;SF/판타지
330070,만화;액션/무협만화
330080,만화;명랑/코믹만화
330090,만화;공포/추리
330100,만화;학원만화
330110,만화;웹툰/카툰에세이
330120,만화;기타만화
330130,만화;일본어판 만화
330140,만화;영문판 만화
340,해외도서
340010,해외도서;문학/소설
340020,해외도서;유아청소년/교육
340030,해외도서;경영경제
340040,해외도서;건축/예술
340050,해외도서;컴퓨터
340060,해외도서;요리
340070,해외도서;취미/여행
340080,해외도서;가족/생활
340090,해외도서;언어/외국어/사전
340100,해외도서;철학/심리/역사
340110,해외도서;종교/명상
340120,해외도서;과학/공학/수학
340130,해외도서;사회/정치/법
340140,해외도서;독일
340150,해외도서;프랑스
340160,해외도서;스페인
340170,일본도서
